,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,AQI,City,AQI_Bucket,day
151,149.03,211.154,11.490000000000002,0.16000000000000014,11.649999999999999,34.032,11.49,10.07,7.270000000000003,1.71,5.72,248.0,Ahmedabad,Poor,Weekend
152,86.57,141.642,11.47,0.17000000000000526,11.64,18.874,11.47,11.09,6.530000000000001,1.57,3.8499999999999996,300.0,Ahmedabad,Poor,Weekend
153,111.77,222.468,11.3,0.240000000000002,11.530000000000001,19.4,11.3,7.73,4.670000000000002,1.72,4.52,232.0,Ahmedabad,Poor,weekday
154,151.4,211.154,10.8,0.360000000000003,11.16,34.032,10.8,7.8,5.460000000000001,0.9499999999999997,3.54,330.0,Ahmedabad,Very Poor,weekday
155,51.35,164.122,8.0,2.6900000000000013,10.670000000000002,7.841999999999999,8.0,10.0,5.7599999999999945,1.54,4.32,223.0,Ahmedabad,Poor,weekday
156,65.37,132.726,0.6400000000000006,8.07,8.57,5.724000000000004,0.6400000000000001,16.31,8.02,1.63,4.34,105.0,Ahmedabad,Moderate,weekday
157,56.28,113.73400000000001,0.6000000000000014,8.02,8.509999999999998,31.46,0.6000000000000001,18.93,6.199999999999999,1.52,3.74,101.0,Ahmedabad,Moderate,weekday
158,48.17,103.706,0.6499999999999986,8.0,8.55,35.748,0.6499999999999999,18.99,7.969999999999999,1.23,4.74,93.0,Ahmedabad,Satisfactory,Weekend
159,33.56,71.28,0.7199999999999989,7.890000000000001,8.560000000000002,29.058,0.72,11.28,10.18,0.6099999999999999,3.8499999999999996,67.0,Ahmedabad,Satisfactory,Weekend
160,31.299999999999997,49.592,0.5500000000000007,8.099999999999998,8.490000000000002,8.392000000000001,0.5499999999999998,10.29,7.440000000000001,0.52,2.3100000000000005,60.0,Ahmedabad,Satisfactory,weekday
161,57.11,85.472,0.5500000000000007,8.279999999999998,8.420000000000002,5.826000000000004,0.5499999999999998,14.58,2.6000000000000014,2.81,14.53,90.0,Ahmedabad,Satisfactory,weekday
162,34.72,66.11800000000001,0.10000000000000142,9.73,7.879999999999999,17.086,0.10000000000000009,13.62,4.870000000000001,1.44,5.22,77.99999999999999,Ahmedabad,Satisfactory,weekday
163,29.22,41.986000000000004,0.05999999999999872,9.57,7.77,6.312000000000001,0.06000000000000005,13.58,5.079999999999998,1.37,3.6500000000000004,48.0,Ahmedabad,Good,weekday
164,29.79,41.986000000000004,0.14000000000000057,8.64,7.969999999999999,6.311999999999998,0.14000000000000012,15.11,5.339999999999996,0.3599999999999999,1.0500000000000007,53.0,Ahmedabad,Satisfactory,Weekend
165,59.95,72.6,0.17999999999999972,8.779999999999998,8.16,6.305999999999997,0.18000000000000016,11.52,2.789999999999999,0.52,1.2300000000000004,91.0,Ahmedabad,Satisfactory,Weekend
166,19.200000000000003,31.39,1.5199999999999996,9.45,9.740000000000002,9.8,1.52,11.23,4.610000000000003,1.29,3.29,70.0,Ahmedabad,Satisfactory,weekday
167,19.519999999999996,80.764,5.889999999999999,11.260000000000002,17.15,14.504,5.89,11.56,4.399999999999999,0.5800000000000001,1.4399999999999995,157.0,Ahmedabad,Moderate,weekday
168,35.16,52.732,5.749999999999998,10.89,16.64,13.182000000000002,5.75,14.7,3.6700000000000053,1.61,3.709999999999999,158.0,Ahmedabad,Moderate,weekday
169,33.03,95.86,7.01,10.580000000000002,17.58,31.444,7.01,12.95,3.530000000000001,1.65,3.959999999999999,169.0,Ahmedabad,Moderate,weekday
170,40.95,140.56,6.92,10.470000000000002,17.39,15.384,6.92,19.8,3.3800000000000026,2.05,5.08,174.0,Ahmedabad,Moderate,weekday
171,40.29,114.744,6.74,10.52,17.26,31.444,6.74,8.27,3.5700000000000003,1.85,4.34,173.0,Ahmedabad,Moderate,Weekend
172,41.16,110.2,6.91,10.510000000000002,17.42,39.016000000000005,6.91,13.48,3.6899999999999977,1.8,4.23,172.0,Ahmedabad,Moderate,Weekend
173,36.12,116.324,7.210000000000001,11.559999999999999,17.07,39.016000000000005,7.210000000000001,13.62,6.079999999999998,1.67,2.8499999999999996,190.0,Ahmedabad,Moderate,weekday
174,28.510000000000005,100.604,6.690000000000001,20.52,27.21,30.866,6.690000000000001,5.690000000000001,7.649999999999999,1.3599999999999999,2.17,171.0,Ahmedabad,Moderate,weekday
175,31.590000000000003,100.604,6.99,20.42,27.41,31.926,6.99,9.23,7.899999999999995,0.7200000000000002,2.29,168.0,Ahmedabad,Moderate,weekday
